Model,Fold,MSE,RMSE,MAE,R2
CSF-FPE,fold 1,2.2374,1.4958,1.1914,0.2744
,fold 2,2.989,1.7289,1.224,0.2095
,fold 3,1.9233,1.3868,1.0989,0.2931
,fold 4,2.2128,1.4875,1.1413,0.2672
,fold 5,2.1274,1.4586,1.0776,0.2630 
TabPFN,fold 1,1.647,1.2834,0.9863,0.4659
,fold 2,2.6128,1.6164,1.0467,0.3090 
,fold 3,1.4884,1.2200 ,0.9038,0.4529
,fold 4,1.8991,1.3781,0.9830 ,0.3710 
,fold 5,1.349,1.1615,0.8316,0.5326
Transformer,fold 1,1.9032,1.3796,1.0609,0.3828
,fold 2,3.7811,1.9445,1.4212,0.0000 
,fold 3,1.6046,1.2667,0.9431,0.4102
,fold 4,2.1438,1.4642,1.0773,0.2900 
,fold 5,1.7590 ,1.3263,0.9867,0.3906
ResMLP,fold 1,1.7094,1.3075,0.9984,0.4456
,fold 2,2.7418,1.6558,1.1104,0.2749
,fold 3,1.5486,1.2444,0.9259,0.4308
,fold 4,2.1197,1.4559,1.1011,0.2980 
,fold 5,1.6080 ,1.2681,0.9287,0.4429
XGBoost,fold 1,2.6245,1.6200 ,1.1333,0.3013
,fold 2,1.8788,1.3707,1.0464,0.2853
,fold 3,2.1717,1.4737,1.0355,0.2286
,fold 4,2.3836,1.5439,1.1063,0.2677
,fold 5,1.9666,1.4024,1.0559,0.3405
Random Forest,fold 1,2.4966,1.5801,1.0989,0.3353
,fold 2,1.7889,1.3375,1.0137,0.3195
,fold 3,2.1820 ,1.4772,1.0332,0.2250 
,fold 4,2.4768,1.5738,1.1252,0.2390 
,fold 5,2.0055,1.4161,1.0559,0.3274
