Fold,Dataset,MSE,RMSE,MAE,R2
1,UAV,0.6327 ,0.7954 ,0.5898 ,0.7571 
,S2,2.3093 ,1.5196 ,1.2039 ,0.3050 
,L8,2.3230 ,1.5241 ,1.1531 ,0.1693 
,U2S2,0.7160 ,0.8461 ,0.6182 ,0.7251 
,U2L8,0.7838 ,0.8853 ,0.6644 ,0.6990 
2,UAV,0.8268 ,0.9093 ,0.6302 ,0.7578 
,S2,2.3726 ,1.5403 ,1.2068 ,0.2026 
,L8,2.6557 ,1.6296 ,1.2598 ,0.1821 
,U2S2,0.8818 ,0.9390 ,0.6619 ,0.7417 
,U2L8,1.0601 ,1.0296 ,0.6692 ,0.6895 
3,UAV,0.8736 ,0.9347 ,0.6866 ,0.6422 
,S2,2.2187 ,1.4895 ,1.1008 ,0.3211 
,L8,2.2559 ,1.5020 ,1.1629 ,0.2313 
,U2S2,0.7674 ,0.8760 ,0.6535 ,0.6857 
,U2L8,0.6110 ,0.7817 ,0.5580 ,0.7497 
4,UAV,1.2132 ,1.1015 ,0.9577 ,0.6488 
,S2,2.0347 ,1.4264 ,1.1128 ,0.2814 
,L8,1.9596 ,1.3999 ,1.0580 ,0.1386 
,U2S2,1.0224 ,1.0111 ,0.8319 ,0.7040 
,U2L8,1.3203 ,1.1491 ,0.9717 ,0.6178 
5,UAV,1.4377 ,1.1991 ,0.9260 ,0.6455 
,S2,2.3362 ,1.5285 ,1.2157 ,0.1658 
,L8,2.8786 ,1.6966 ,1.3439 ,0.1597 
,U2S2,1.8954 ,1.3767 ,1.1014 ,0.5327 
,U2L8,1.8957 ,1.3769 ,1.0810 ,0.5326 
