水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,433-453,458-523,543-578,650-680,698-713,733-748,773-793,785-900,855-875,935-955,1565-1655,2100-2280
29.5,7.01,10.88,6.37,0.008,0.096,1.84,144.7,18.6,6.43,4.44,6.23,3.54,7.67,5.14,5.08,2.34,6.14,5.03,6.93,7.66
28.2,7.1,8.14,1.65,0.004,0.044,1.88,148,3.1,11.96,12.82,15.06,14.06,13.76,12.11,12,11.15,11.87,10.7,13.2,11.85
30.1,7.03,3.88,4.99,0.319,0.108,3.77,286.6,8.4,7.97,7.78,9.41,8.76,11.44,8.13,9.26,6.62,9.06,12.64,8.92,8.02
29.1,7.09,4.31,4.18,0.552,0.076,2.45,236.4,14.1,4.93,8.34,10.08,10.5,11.03,10.92,10.9,9.76,11.42,7.11,12.28,11.88
30.5,6.9,7.22,0.67,1.498,5e-04,1.99,-1,3.6,10.11,9.21,12.06,8.61,9.86,8.43,9.47,5.38,8.95,16.65,10.57,10.53
31,6.81,8.62,3.94,0.008,0.085,1.58,189,5.6,6.98,7.03,7.9,5.87,9.29,6.87,6.59,5.12,7.11,9.32,8.33,7.24
32.4,9.35,12.73,9.87,0.006,0.047,1.93,235.7,17.3,3.61,5.39,8.44,4.48,6.27,1.71,1.48,0.41,0.01,0.03,0.67,0.73
23.3,7.79,7.75,1.73,0.101,-2,-2,281,32.7,8.33,8.2,8.72,8.24,9,14.44,14.78,12.84,16.13,13.25,11.41,8.01
23.3,7.79,7.75,1.73,0.101,-2,-2,281,32.7,8.33,8.2,8.72,8.24,9,14.44,14.78,12.84,16.13,13.25,11.41,8.01
24.2,7.48,7.77,0.7,0.025,0.015,1.82,283.5,24.5,6.24,11.28,14.76,17.44,17.91,18.28,18.11,20.98,18.49,15.65,19,16.61
24.1,7.88,7.62,1.1,0.025,0.017,2.08,197.4,32.5,7.02,9.32,15.18,12.48,10.23,5.03,4.79,4.09,4,2.29,1.55,1.16
24.4,7.35,9.47,0.77,0.025,0.014,1.56,289.4,11.7,3.93,4.58,6.44,2.98,2.24,1.76,1.53,1.31,1.09,1.25,0.98,0.83
25.2,6.76,6.72,3.69,0.048,0.053,0.96,127.5,8.1,3.15,3.33,4.4,3.06,3.59,2.13,2.36,2.15,2.09,3.22,1.53,1.21
24.4,6.8,4.89,2.22,0.131,0.105,2.27,142.8,22.5,6.55,6.34,9.87,6.91,8.61,5.77,5.03,2.48,4.54,2.19,6.32,5.18
23.5,7.42,7.87,0.72,0.051,0.02,0.99,92.3,10.3,4.73,5.79,8.92,4.45,3.28,1.4,1.55,1.48,1.31,0.84,1.16,0.87
22.1,7.19,8.64,0.97,0.025,0.016,1.02,102.3,4.1,4.7,5.46,8.61,4.49,3.6,1.45,1.64,1.52,1.38,0.78,0.97,0.83
23.5,7.42,7.87,0.72,0.051,0.02,0.99,92.3,10.3,4.73,5.79,8.92,4.45,3.28,1.4,1.55,1.48,1.31,0.84,1.16,0.87
23.9,7.48,7.84,-1,0.025,0.006,0.46,84.9,2.6,3.45,3.35,3.46,1.15,0.99,0.64,0.66,0.56,0.66,0.3,0.41,0.36
23.5,7.42,7.87,0.72,0.051,0.02,0.99,92.3,10.3,4.73,5.79,8.92,4.45,3.28,1.4,1.55,1.48,1.31,0.84,1.16,0.87
22.1,7.19,8.64,0.97,0.025,0.016,1.02,102.3,4.1,4.7,5.46,8.61,4.49,3.6,1.45,1.64,1.52,1.38,0.78,0.97,0.83
23.5,7.42,7.87,0.72,0.051,0.02,0.99,92.3,10.3,4.73,5.79,8.92,4.45,3.28,1.4,1.55,1.48,1.31,0.84,1.16,0.87
23.9,7.48,7.84,-1,0.025,0.006,0.46,84.9,2.6,3.45,3.35,3.46,1.15,0.99,0.64,0.66,0.56,0.66,0.3,0.41,0.36
22.4,7.43,8.47,0.78,0.025,0.005,1.56,122.7,15.6,5.16,6.42,10.56,5.98,4.07,1.45,1.46,1.22,1.01,0.94,0.6,0.58
24.1,7.03,8.03,1.42,0.094,0.019,1.49,141.7,8.7,4.53,8.59,10.5,11.72,9.33,8.92,9.21,11.5,9.63,4.47,9.19,8.09
23.6,7.44,8.42,0.79,0.025,0.034,1.59,155.8,19.9,4.11,5.71,9.18,4.83,3.37,1.1,1.54,1.28,1.17,0.52,0.96,0.81
25.2,7.11,5.84,3.73,0.025,0.06,2.71,260.7,29.7,4.41,4.73,7.85,5.52,5.22,2.9,2.46,1.84,1.7,8.07,2.4,2.56
24,6.94,5.23,1.88,0.371,0.068,2.87,215.1,24.2,3.33,1.65,2.31,1.62,5.2,4.94,4.26,1.31,5.13,2.73,6.59,6.24
24.3,6.81,8.28,1.71,0.025,0.005,1.66,140.9,35,5.53,5.95,8.87,5.45,4.99,2.6,2.65,1.95,1.7,9.22,3.11,2.28
23.8,6.76,4.41,2.15,0.158,0.11,2.3,131,20.3,5.12,5.88,9.4,6.78,6.64,2.78,4.38,2.26,2.53,2.91,3.5,3.26
22.1,7.19,8.64,0.97,0.025,0.016,1.02,102.3,4.1,4.7,5.46,8.61,4.49,3.6,1.45,1.64,1.52,1.38,0.78,0.97,0.83
22.1,7.19,8.64,0.97,0.025,0.016,1.02,102.3,4.1,4.7,5.46,8.61,4.49,3.6,1.45,1.64,1.52,1.38,0.78,0.97,0.83
25.4,8.08,7.19,3.09,0.334,0.02,1.22,39570.7,8.9,4.52,5.21,7.59,3.76,2.63,0.47,1.14,1.04,0.72,2.53,1.03,0.77
23.9,7.05,7.5,3.27,0.052,0.046,1.02,718.9,18.9,6.57,8.36,11.32,11.08,12.33,11.01,10.95,11,10.56,7.79,9.22,7.86
23.1,8.51,10.09,4.98,0.181,0.04,1.04,6691.9,16.5,2.55,1.78,2.64,1.67,3.8,3.17,3.92,1.97,3.44,4.04,4.49,4.11
