Model,Fold,MSE,RMSE,MAE,R2
CSF-FPE,fold 1,0.7378,0.859,0.5478,0.7167
,fold 2,0.9853,0.9926,0.6641,0.7114
,fold 3,0.9416,0.9704,0.8989,0.6143
,fold 4,0.957,0.9783,0.7751,0.723
,fold 5,1.056,1.0276,0.8700 ,0.7397
TabPFN,fold 1,1.0847,1.0415,0.6511,0.5835
,fold 2,2.7321,1.6529,1.0659,0.1997
,fold 3,0.442,0.6648,0.5357,0.819
,fold 4,1.1092,1.0532,0.8915,0.6789
,fold 5,3.6353,1.9066,1.3273,0.1038
Transformer,fold 1,2.5639,1.6012,1.1507,0.0155
,fold 2,1.5628,1.2501,0.7697,0.5422
,fold 3,1.2185,1.1039,0.8439,0.5009
,fold 4,1.6022,1.2658,0.964,0.5362
,fold 5,3.8218,1.955,1.469,0.0578
ResMLP,fold 1,1.0227,1.0113,0.6933,0.6073
,fold 2,1.4706,1.2127,0.884,0.5692
,fold 3,1.1753,1.0841,0.7464,0.5186
,fold 4,3.6308,1.9055,1.3027,-0.0511
,fold 5,3.9507,1.9876,1.381,0.026
XGBoost,fold 1,0.9585,0.9791,0.6724,0.632
,fold 2,1.0294,1.0146,0.7996,0.6985
,fold 3,1.7398,1.319,0.88,0.2874
,fold 4,1.814,1.3469,1.0253,0.4748
,fold 5,2.4277,1.5581,1.1139,0.4015
Random Forest,fold 1,0.7534,0.868,0.5752,0.7107
,fold 2,1.4371,1.1988,0.8028,0.579
,fold 3,1.6201,1.2728,0.8134,0.3365
,fold 4,1.6647,1.2902,0.9699,0.5181
,fold 5,3.3003,1.8167,1.3264,0.1863
