Model,Fold,MSE,RMSE,MAE,R2
CSF-FPE,fold 1,0.6437,0.8023,0.5184,0.7528
,fold 2,1.0088,1.0044,0.6937,0.7045
,fold 3,0.2649,0.5147,0.4165,0.8915
,fold 4,1.077,1.0378,0.8616,0.6882
,fold 5,0.878,0.9370 ,0.7520 ,0.7835
TabPFN,fold 1,0.9589,0.9792,0.6552,0.6318
,fold 2,2.3754,1.5412,0.9759,0.3042
,fold 3,0.5053,0.7108,0.5504,0.793
,fold 4,0.6631,0.8143,0.6142,0.808
,fold 5,4.7205,2.1727,1.2886,-0.1638
Transformer,fold 1,0.716,0.8462,0.5526,0.7251
,fold 2,1.8862,1.3734,0.954,0.4475
,fold 3,1.3921,1.1799,0.83,0.4299
,fold 4,1.6438,1.2821,1.0003,0.5241
,fold 5,3.059,1.749,1.1799,0.2458
ResMLP,fold 1,0.7037,0.8389,0.6524,0.7298
,fold 2,4.7671,2.1834,1.5029,-0.3964
,fold 3,1.8681,1.3668,0.7766,0.2349
,fold 4,6.31,2.512,1.5945,-0.8267
,fold 5,3.5522,1.8847,1.3003,0.1242
XGBoost,fold 1,0.938,0.9685,0.6478,0.6398
,fold 2,1.5734,1.2543,0.9511,0.5391
,fold 3,1.4122,1.1884,0.8994,0.4216
,fold 4,1.7618,1.3273,1.0211,0.49
,fold 5,2.232,1.494,1.0392,0.4497
Random Forest,fold 1,0.7132,0.8445,0.5274,0.7262
,fold 2,1.4626,1.2094,0.8483,0.5716
,fold 3,0.8899,0.9433,0.6421,0.6355
,fold 4,1.2784,1.1307,0.8698,0.6299
,fold 5,2.7298,1.6522,1.1254,0.327
