Model,Fold,MSE,RMSE,MAE,R2
CSF-FPE,fold 1,0.5011,0.7079,0.5318,0.8076
,fold 2,0.9203,0.9593,0.6287,0.7304
,fold 3,0.6593,0.812,0.6946,0.73
,fold 4,0.9382,0.9686,0.7189,0.7284
,fold 5,0.9618,0.9807,0.7993,0.7629
TabPFN,fold 1,1.0614,1.0303,0.6893,0.5925
,fold 2,2.3101,1.5199,1.0038,0.3233
,fold 3,0.7289,0.8538,0.6612,0.7015
,fold 4,0.6769,0.8227,0.6013,0.804
,fold 5,5.3417,2.3112,1.3374,-0.3169
Transformer,fold 1,1.4209,1.192,0.8968,0.4544
,fold 2,1.6659,1.2907,1.1237,0.512
,fold 3,1.1467,1.0708,0.8894,0.5304
,fold 4,3.4539,1.8585,1.4512,0.0001
,fold 5,1.8991,1.3781,1.0365,0.5318
ResMLP,fold 1,0.42,0.6481,0.4965,0.8387
,fold 2,3.3336,1.8258,1.2743,0.0235
,fold 3,3.8467,1.9613,1.3302,-0.5755
,fold 4,0.916,0.9571,0.7255,0.7348
,fold 5,3.1586,1.7772,1.1521,0.2213
XGBoost,fold 1,1.0125,1.0063,0.7011,0.6112
,fold 2,1.8793,1.3709,1.0839,0.4495
,fold 3,1.1823,1.0873,0.8179,0.5158
,fold 4,1.4163,1.1901,0.8552,0.59
,fold 5,1.8378,1.3557,0.8845,0.5469
Random Forest,fold 1,1.1607,1.0774,0.7202,0.5543
,fold 2,1.173,1.083,0.7213,0.6564
,fold 3,0.6251,0.7906,0.6049,0.744
,fold 4,1.6247,1.2746,0.9116,0.5297
,fold 5,1.6107,1.2691,0.9446,0.6029
